LANGUAGE	call-targets	c2luax9zb3VyY2UfdHJhbnNmb3Jt
LANGUAGE	main-calls	c2luax9zb3VyY2UfdHJhbnNmb3Jt
LANGUAGE	main-parameter	dXNlcg==
LANGUAGE	parameter-types	QU5ZH0FOWR9BTlkfQU5Z
LANGUAGE	references	Y2xlYW4fcmF3
LANGUAGE	return-types	QU5ZH0FOWR9BTlkfQU5Z
LANGUAGE	returns	cmV0dXJuIHZhbHVlH3JldHVybiB2YWx1ZQ==
LANGUAGE	sink-parameter	dmFsdWU=
LANGUAGE	source-flow	c291cmNlKHVzZXIp
LANGUAGE	source-parameter	dmFsdWU=
LANGUAGE	transform-parameter	dmFsdWU=
LANGUAGE	user-calls	c2luax9zb3VyY2UfdHJhbnNmb3Jt
LANGUAGE	user-methods	bWFpbh9zaW5rH3NvdXJjZR90cmFuc2Zvcm0=
