LANGUAGE	call-targets	c2luax9zb3VyY2UfdHJhbnNmb3Jt
LANGUAGE	main-calls	c2luax9zb3VyY2UfdHJhbnNmb3Jt
LANGUAGE	main-parameter	dGhpcx91c2Vy
LANGUAGE	parameter-types	U3RyaW5nH1N0cmluZx9TdHJpbmcfU3RyaW5nH3Byb2dyYW0fcHJvZ3JhbR9wcm9ncmFtH3Byb2dyYW0=
LANGUAGE	references	Y2xlYW4fcmF3
LANGUAGE	return-types	QU5ZH0FOWR9TdHJpbmcfU3RyaW5n
LANGUAGE	returns	cmV0dXJuIHZhbHVlH3JldHVybiB2YWx1ZQ==
LANGUAGE	sink-parameter	dGhpcx92YWx1ZQ==
LANGUAGE	source-flow	c291cmNlKHVzZXIp
LANGUAGE	source-parameter	dGhpcx92YWx1ZQ==
LANGUAGE	transform-parameter	dGhpcx92YWx1ZQ==
LANGUAGE	user-calls	c2luax9zb3VyY2UfdHJhbnNmb3Jt
LANGUAGE	user-methods	bWFpbh9zaW5rH3NvdXJjZR90cmFuc2Zvcm0=
