LANGUAGE	call-targets	c2luax9zb3VyY2UfdHJhbnNmb3Jt
LANGUAGE	main-calls	c2luax9zb3VyY2UfdHJhbnNmb3Jt
LANGUAGE	main-parameter	dXNlcg==
LANGUAGE	parameter-types	U3RyaW5nH1N0cmluZx9TdHJpbmcfU3RyaW5n
LANGUAGE	references	Y2xlYW4fcmF3
LANGUAGE	return-types	KCkfKCkfU3RyaW5nH1N0cmluZw==
LANGUAGE	returns	dmFsdWUfdmFsdWU=
LANGUAGE	sink-parameter	dmFsdWU=
LANGUAGE	source-flow	c291cmNlKHVzZXIp
LANGUAGE	source-parameter	dmFsdWU=
LANGUAGE	transform-parameter	dmFsdWU=
LANGUAGE	user-calls	c2luax9zb3VyY2UfdHJhbnNmb3Jt
LANGUAGE	user-methods	bWFpbh9zaW5rH3NvdXJjZR90cmFuc2Zvcm0=
